Soil;G;qt ;fs;u;gamma;mq;Rf
Mining tailing - zinc;"3,33";"183,414154";"1,95532667";"98,9711367";"12,82";"45,8535385";"1,06"
Mining tailing - zinc;"3,35";"222,091489";"2,57107667";"130,395307";"13,25";"44,4182978";"1,56"
Mining tailing - zinc;"3,362";"261,388949";"1,98299667";"167,278763";"13,03";"43,56482483";"1,19"
Mining tailing - zinc;"3,362";"373,565632";"4,71814";"187,99685";"13,49";"53,36651886";"1,62"
Mining tailing - zinc;"3,362";"416,835064";"4,53542";"228,88057";"13,72";"52,104383";"0,84"
Mining tailing - zinc;"3,362";"622,378748";"8,18549333";"233,26896";"14,28";"69,15319422";"0,87"
Mining tailing - zinc;"3,362";"608,569425";"5,36734667";"332,842127";"13,68";"60,8569425";"0,98"
Mining tailing - zinc;"3,362";"622,955246";"8,65903333";"323,674363";"13,85";"56,63229509";"0,93"
Mining tailing - zinc;"3,362";"1097,18363";"16,99065";"441,83799";"14,92";"91,43196917";"1,26"
Mining tailing - zinc;"3,32";"96,8737807";"0,96381667";"46,17728";"11,27";"96,8737807";"1,05"
Mining tailing - zinc;"3,32";"123,354998";"1,11824667";"67,7679367";"12,41";"61,677499";"0,83"
Mining tailing - zinc;"3,32";"159,515336";"1,80478";"91,4805533";"12,81";"53,17177867";"1,15"
Mining tailing - zinc;"3,32";"163,709138";"1,71147667";"111,43655";"12,35";"40,9272845";"0,99"
Mining tailing - zinc;"3,325";"220,974032";"2,55885";"143,792797";"12,23";"44,1948064";"0,97"
Mining tailing - zinc;"3,328";"366,14345";"4,03548667";"194,88399";"13,38";"61,02390833";"1,32"
Mining tailing - zinc;"3,29";"399,94572";"3,12505667";"220,78371";"14,06";"57,13510286";"0,87"
Mining tailing - zinc;"3,29";"482,625039";"4,69626667";"246,20183";"13,94";"60,32812988";"0,5"
Mining tailing - zinc;"3,29";"558,618121";"5,47479";"273,75606";14;"62,06868011";"1,03"
Mining tailing - zinc;"3,29";"627,422882";"5,33647";"322,739473";"14,23";"62,7422882";"0,93"
Mining tailing - zinc;"3,329";"748,825078";"8,64874";"331,468083";"14,23";"68,07500709";"1,27"
Mining tailing - zinc;"3,329";"946,109668";"9,01808";"433,319027";"14,3";"78,84247233";"0,9"
Mining tailing - gold;"2,86";"397,692967";"16,703";"60,4976667";"19,66";"99,42324175";"4,41"
